1,4,80,64
62,4,80,13
67,4,80,16
67,4,80,8
88,4,80,24
88,4,80,11
88,4,80,7
105,4,80,45
105,4,80,15
105,4,80,13
110,4,80,8
110,4,80,7
117,4,80,63
118,4,80,8
119,4,80,9
131,4,80,10
133,4,80,31
161,4,80,17
166,4,80,32
166,4,80,9
166,4,80,7
183,4,80,16
199,4,80,13
199,4,80,13
288,4,80,13
293,4,80,27
305,4,80,21
305,4,80,15
305,4,80,9
305,4,80,7
308,4,80,21
308,4,80,15
311,4,80,19
316,4,80,13
322,4,80,7
323,4,80,8
329,4,80,40
333,4,80,8
353,4,80,15
354,4,80,41
354,4,80,14
364,4,80,21
367,4,80,7
374,4,80,11
384,4,80,31
384,4,80,16
412,4,80,8
414,4,80,18
414,4,80,13
414,4,80,7
414,4,80,7
437,4,80,12
440,4,80,11
465,4,80,11
468,4,80,16
474,4,80,16
474,4,80,8
475,4,80,11
486,4,80,11
500,4,80,7
512,4,80,8
515,4,80,30
537,4,80,11
537,4,80,7
555,4,80,7
559,4,80,23
576,4,80,9
583,4,80,33
597,4,80,24
598,4,80,20
603,4,80,17
603,4,80,12
615,4,80,35
628,4,80,12
646,4,80,24
649,4,80,10
668,4,80,26
674,4,80,17
682,4,80,12
686,4,80,10
689,4,80,32
703,4,80,11
705,4,80,9
714,4,80,10
724,4,80,12
725,4,80,49
725,4,80,19
729,4,80,13
729,4,80,12
729,4,80,8
730,4,80,11
738,4,80,8
739,4,80,9
740,4,80,17
752,4,80,16
752,4,80,8
755,4,80,12
765,4,80,32
770,4,80,13
773,4,80,8
774,4,80,15
776,4,80,15
781,4,80,16
783,4,80,12
783,4,80,11
786,4,80,13
794,4,80,11
794,4,80,10
795,4,80,35
804,4,80,23
810,4,80,11
811,4,80,13
818,4,80,11
958,4,80,29
960,4,80,25
